0,1
raining,['dogs']
overreaches,['who']
foul,['something']
rocketing,['miles']
Does,"['contract', 'volatility', 'section', 'sports', 'desire']"
hanging,"['life', 'Bridges', 'bunting', 'wallet', 'time', 'supporters', 'stockings', 'feet', 'economy', 'countries', 'bum', 'cigarette', 'beds', 'tongues']"
conjure,['cross']
sevens,['tournament']
increase,"['contrast', 'film', 'size', 'quest', 'love', 'presidency', 'pace', 'class', 'ranks', 'improvement', 'h', 'number', 'amount', 'awareness', 'coverage', 'crisis', 'allowance', 'sheriff', 'intimidation', 'brightness', 'cost', '@', 'engagement', 'uncertainty', 'Diuretics', 'excretion', 'risk', 'power', 'hate', 'obl', 'effectiveness', 'specificity', 'way', 'costs', 'turn', 'management', 'value', 'territory', 'growth', 'government', 'subsides', 'customer', 'factors', 'hormones', 'rate', 'condoms', 'sharing', 'capacity', 'presence', 'chance', 'counter', 'scope', 'level', 'hands', 'pleasure', 'fine', 'time', 'business', 'quality', 'deal', 'complexity', 'capabilities', 'unrest', 'likelihood', 'revenues', 'scales', 'consumption', 'jobs', 'world', 'wealth', 'times', 'odds', 'bid', 'hearts', 'profit', 'people', 'transfer', 'happiness', 'range', 'agreement', 'potential', 'length', 'stretch', 'impact', 'transparency', 'margin', 'profitability', 'increases', 'spending', 'sector', 'levels', 'confidence', 'percent', 'spread', 'bps', 'opportunities', 'governments', 'income', 'rates', 'share', 'price', 'property', 'cause', 'prices', 'appeal', 'temperature', 'circulation', 'businesses', 'demand', 'address', 'expectancy', 'revenue', 'taxes', 'premiums', 'appetite', 'production', 'efficiency', 'exposure', 'lead', 'service', 'productivity', 'maxerror', 'chances']"
granting,"['power', 'license', 'licence', 'right', 'stay', 'trial', 'registration', 'options', 'release', 'territory', 'university', 'stipulation', 'country', 'independence']"
quadruple,['quantity']
Fetch,['spirit']
Climbing,['towers']
shaving,"['woman', 'years']"
sinking,"['ship', 'boat', 'campaign', 'who', 'father', 'class', 'fact', 'yesterday', 'boats', 'cars']"
wracked,"['effects', 'state']"
stipulate,['version']
Taraaweeh,['custom']
unify,"['team', 'country', 'album']"
stabbed,"['everyone', 'amount', 'someone', 'man', 'times']"
bringing,"['foodstuffs', 'peace', 'effects', 'recession', 'outcome', 'awareness', 'proceedings', 'something', 'buyers', 'future', 'divorce', 'people', '@', 'democracy', 'generations', 'knife', 'participants', 'men', 'promotions', 'trouble', 'maxim', 'case', 'tomatoes', 'child', 'certainty', 'ball', 'technology', 'supplies', 'brochures', 'difficulties', 'sorting', 'messages', 'horse', 'war', 'selves', 'hand', 'food', 'person', 'equality', 'parties', 'plans', 'slaughter', 'company', 'expertise', 'number', 'rear', 'slate', 'dollars', 'boards', 'board', 'joy', 'death', 'blood', 'deliveries', 'guitar', 'vulnerabilities', 'options', 'victory', 'time', 'powers', 'what', 'teacher', 'fears', 'cuts', 'privacy', 'post', 'home', 'ranking', 'things', 'changes']"
disturb,"['society', 'finding', 'health', 'faith', 'nothing', 'peace', 'proteins', 'system', 'stranger', 'life']"
uttering,"['mischief', 'words']"
piling,"['squillions', 'books', 'images']"
differentiates,"['truth', 'whoever', 'What', 'ale']"
wavered,['spirit']
TELLING,['BLAH']
commented,"['ministers', 'official']"
infringed,"['policy', 'right']"
miniatures,['policy']
infringes,"['material', 'copyright', 'patent']"
charted,['people']
sustaining,"['life', 'statement', 'concussion', 'economy', 'movement', 'income']"
consenting,['individuals']
sailed,"['ships', 'ship', 'basket', 'oceans', 'force']"
scraped,"['car', 'face']"
loathing,['self']
feck,['hell']
captain,['ship']
relieving,"['oedema', 'depression', 'pain']"
cooking,"['type', 'food', 'breakfast', 'dishes', 'students']"
contributed,"['developments', 'm', 'scores', 'lives', 'lack', 'death', 'longevity', 'companies', 'omissions', 'information', 'springiness', 'elections', '%', 'supporters', 'who', 'majority', 'guests', 'salary', 'confusion']"
decry,"['burden', 'readers']"
designing,"['exhibitions', 'stoves', 'opportunities', 'style', 'rules', 'layout', 'logo', 'measures']"
superposed,['waves']
increasing,"['density', 'success', 'osmolarity', 'oedema', 'dose', 'business', 'bill', 'frequency', 'number', 'intensity', 'age', 'disparity', 'availability', 'standards', 'capacity', 'power', 'consumption', 'excitability', 'subscriptions', 'rent', 'part', 'percentage', 'interaction', 'weight', 'incentive', 'margin', 'gap', 'chances', 'baby', 'knowledge', 'premia', 'poverty', 'indebtedness', 'cancer', 'output', 'rate', 'investment', 'competition', 'secretion', 'expectancy', 'interest', 'coverage', 'demand', 'security', 'points', 'role', 'tension', 'gravity', 'lead', 'ingredient', 'levels', 'support', 'use', 'USE', 'time', 'probability']"
succumb,['music']
lionised,['who']
specialist,['holidays']
misjudged,"['monks', 'pitch']"
avert,['horrors']
quietened,['agitation']
intentioned,['way']
specialise,['who']
