verb,verbs,nouns
foul,"['foul', 'fouling']","['something', 'pollutants', 'river']"
conjure,"['conjure', 'conjures', 'conjured']","['cross', 'brain', 'stream', 'fears', 'something', 'music', 'people', 'equaliser']"
rouse,"['rouse', 'roused']","['anger', 'rat', 'interest']"
quadruple,"['quadruple', 'quadruples', 'quadrupled']","['quantity', 'marbles', 'number', 'sales', 'unemployment']"
stipulate,"['stipulate', 'stipulates', 'stipulating']","['version', 'legislation', 't', 'condition']"
disturb,"['disturb', 'disturbing']","['society', 'finding', 'health', 'faith', 'nothing', 'peace', 'proteins', 'system', 'stranger', 'life', 'difficulties', 'concerns', 'workers', 'neighborhood', 'feelings']"
decry,"['decry', 'decrying']","['burden', 'readers', 'failure', 'culture']"
succumb,"['succumb', 'succumbed']","['music', 'opponents', 'government']"
avert,"['avert', 'averting']","['horrors', 'anarchy']"
specialise,"['specialise', 'specialised']",[]
divide,"['divide', 'divides', 'dividing']","['text', 'misogyny', 'moralities', 'triangle']"
criticise,"['criticise', 'criticising']","['umpire', 'effort', 'qur', 'position', 'policies', 'fact', 'government', 'politics', 'background']"
lengthen,"['lengthen', 'lengthened']","['interval', 'wait', 'days']"
replace,"['replace', 'replaces', 'replacing']","['car', 'scrap', 'forms', 'header', 'incumbent', 'president', 'nothing', 'monarchy', 'institutions', 'care', 'parts', 'judge', 'version', 'pm', 'printer', 'method', 'foundries', 'children', 'milk', 'one', 'station', 'leaders', 'extract', 'moron', 'word', 'rule', 'oil', 'commas', 'parentheses', 'slash', 'ones', 'system', 'feeling', 'thoughts', 'aids', 'years', 'batteries', 'banks', 'money', 'stations', 'renewables', 'meteorologists', 'isobars', 'front', 'northwesterlies', 'moves', 'name', 'workers', 'c', 'case', 'manufacturer', 'riders', 'tires', 'words', 'testing', 'gas', 'coal', 'surrogates', 'iron', 'measure', 'ability', 'value', 'boondoggle', 'items', 'year', 'cog']"
browse,"['browse', 'browses', 'browsed']","['photosets', 'users', 'pages', 'website', 'stock', 'internet', 'montage', 'selects']"
exhort,"['exhort', 'exhorting']","['people', 'anyone']"
strike,"['strike', 'strikes', 'striking']","['earth', 'genres', 'chord', 'balance', 'sail', 'workforce', 'independents', 'deal', 'target', 'blow', 'ears', 'paragraph', 'nothing', 'disaster', 'calamity', 'glass', 'illness', 'someone', 'note', 'hadith', 'sentiments', 'blows', 'differences', 'autumn']"
relax,"['relax', 'relaxed']","['locals', 'knee', 'guides', 'reflection', 'guests', 'guest', 'rule']"
hurt,"['hurt', 'hurting']","['type', 'ego', 'death', 'anyone', 'things', 'people', 'failure', 'sanguine', 'area', 'wickets', 'startup', 'head', 'fly', 'feet', 'u', 'labour', 'men', 'women', 'code', 'feelings', 'hosts', 'today', 'members', 'ears', 'country', 'concept', 'anybody', 'climbers', 'team', 'mom', 'year', 'lot', 'attitude', 'introduction', 'revenue', 'selectors', 'cricket']"
hold,"['hold', 'holds']","['key', 'spacebar', 'place', 'base', 'seminar', 'event', 'conference', 'enter', 'owner', 'responsibility', 'paper', 'scholar', 'mujtahid', 'something', 'significance', 'importance', 'temple', 'gallery', 'attachment', 'future', 'home', 'face', 'title', 'lender', 'borrower', 'inventory', 'powers', 'bulk', 'horse', 'neck', 'conversion', 'pointer', 'm', 'b', 'j', 'gallon', 'ground', 'technology', 'promise', 'glimmer', 'data', 'relationship', 'potential', 'tool', 'kid', 'friend', 'doctrines', 'principle', 'label', 'week', 'lottery', 'drawings', 'court', 'barrel', 'range', 'law', '""oer""', 'torch', 'air', 'vapor', 'card', 'degrees', 'perspective', 'baby', 'infundibulum', 'yolk', 'record', 'opinion', 'section', 'news', 'shape', 'glue', 'foods', 'statues', 'hand', 'government', 'point', 'status', 'degree', 'phd', 'nation', 'bond', 'husband', 'woman', 'part', 'value', 'galaxy', 'stars', 'beds', 'year', 'calls', 'function', 'board', 'power', 'sapp', 'seats', 'rules', 'directorships']"
pursue,"['pursue', 'pursues', 'pursued']","['art', 'things', 'prosperity', 'wealth', 'ambitions', 'story', 'detente', 'case', 'angles', 'matter', 'argument', 'company', 'opportunities', 'activities', 'pact', 'policy', 'goals', 'fulfill', 'path', 'researcher', 'link', 'programs', 'purpose', 'education', 'options', 'producers', 'strategies', 'police', 'enquiries', 'film', 'type', 'appeal', 'experiments', 'love', 'model', 'litigation', 'agreement', 'blend', 'interests']"
sweeten,"['sweeten', 'sweetened']","['bean', 'speech', 'sweetness']"
rework,"['rework', 'reworked']","['song', 'look']"
triple,"['triple', 'triples']","['quantity', 'plant', 'expansion', 'capacity']"
want,"['want', 'wanted']","['evidence', 'kid', 'companions', 'something', 'year', 'things', 'http', 'rain', 'properties', 'son', 'tamils', 'riders', 'everyone', 'relatives', 'snack', 'fans', 'dress', 'striker', 'desire', 'nature', 'church', 'hall', 'director', 'publisher', 'function', 'listnames', 'compensation', 'groups', 'owners', 'review', 'allrounder', 'company', 'privacy', 'weather', 'visitors', 'reproduction', 'everything', 'diversity', 'design', 'parts', 'association', 'people', 'everybody', 'members', 'others', 'hair', 'anything', 'judges', 'doctors', 'challenge', 'pay', 'thanks', 'family', 'house', 'check', 'way', 'countries', 'cause', 'father', 'leaders', 'kids', 'teachers', 'quotation', 'recruit', 'mother', 'time', 'pow', 'confirmation', 'laws', 'coaches', 'victory', 'control', 'generals', 'resources', 'stuff', 'ribs', 'play', 'boy', 'resident', 'board', 'message', 'performers', 'changes', 'points', 'loser', 'anybody', 'boys', 'day', 'percent', 'cent', 'name']"
travel,"['travel', 'traveling']","['distance', 'day', 'sport', 'pain', 'path', 'lots', 'pathway', 'class', 'jeep', 'km', 'light', 'today', 'part', 'parties', 'waves', 's', 'segment', 'h', 'hundreds', 'air', 'length', 'car', 'playing', 'visitors', 'rest', 'generals', 'coach', 'miles', 'distances', 'man', 'trip', 'meter', 'neck', 'pulse', 'guide', 'parallel']"
damage,"['damage', 'damaging']","['creeps', 'handling', 'condoms', 'system', 'video', 'support', 'production', 'growth', 'website', 'instrument', 'propeller', 'health', 'career']"
